Year,Series,Month,Unit,Value
2017,Broadband Penetration,Jan,Percentage,21.69
2017,Broadband Penetration,Feb,Percentage,22.4
2017,Broadband Penetration,March,Percentage,21.74
2017,Broadband Penetration,April,Percentage,21.21
2017,Broadband Penetration,May,Percentage,20.01
2017,Broadband Penetration,June,Percentage,19.69
2017,Broadband Penetration,July,Percentage,19.78
2017,Broadband Penetration,Aug,Percentage,19.49
2017,Broadband Penetration,Sept,Percentage,19.58
2017,Broadband Penetration,Oct,Percentage,19.69
2017,Broadband Penetration,Nov,Percentage,19.66
2017,Broadband Penetration,Dec,Percentage,19.86
2017,Broadband Penetration,,Percentage,244.8
2018,Broadband Penetration,Jan,Percentage,19.97
2018,Broadband Penetration,Feb,Percentage,20.19
2018,Broadband Penetration,March,Percentage,20.28
2018,Broadband Penetration,April,Percentage,23.19
2018,Broadband Penetration,May,Percentage,24.83
2018,Broadband Penetration,June,Percentage,25.12
2018,Broadband Penetration,July,Percentage,25.25
2018,Broadband Penetration,Aug,Percentage,25.59
2018,Broadband Penetration,Sept,Percentage,28.39
2018,Broadband Penetration,Oct,Percentage,29.83
2018,Broadband Penetration,Nov,Percentage,30.9
2018,Broadband Penetration,Dec,Percentage,31.48
2018,Broadband Penetration,,Percentage,305.02
2019,Broadband Penetration,Jan,Percentage,32.34
2019,Broadband Penetration,Feb,Percentage,33.08
2019,Broadband Penetration,March,Percentage,33.22
2019,Broadband Penetration,April,Percentage,33.7
2019,Broadband Penetration,May,Percentage,33.13
2019,Broadband Penetration,June,Percentage,33.31
2019,Broadband Penetration,July,Percentage,33.72
2019,Broadband Penetration,Aug,Percentage,35.1
2019,Broadband Penetration,Sept,Percentage,35.4
2019,Broadband Penetration,Oct,Percentage,37.87
2019,Broadband Penetration,Nov,Percentage,37.71
2019,Broadband Penetration,Dec,Percentage,37.8
2019,Broadband Penetration,,Percentage,416.38
2020,Broadband Penetration,Jan,Percentage,38.49
2020,Broadband Penetration,Feb,Percentage,39.58
2020,Broadband Penetration,March,Percentage,39.85
2020,Broadband Penetration,April,Percentage,39.54
2020,Broadband Penetration,May,Percentage,40.09
2020,Broadband Penetration,June,Percentage,41.23
2020,Broadband Penetration,July,Percentage,42.02
2020,Broadband Penetration,Aug,Percentage,43.3
2020,Broadband Penetration,Sept,Percentage,45.43
2020,Broadband Penetration,Oct,Percentage,45.93
2020,Broadband Penetration,Nov,Percentage,45.07
2020,Broadband Penetration,Dec,Percentage,45.02
2020,Broadband Penetration,,Percentage,505.55
2021,Broadband Penetration,Jan,Percentage,42.93
2021,Broadband Penetration,Feb,Percentage,42.06
2021,Broadband Penetration,March,Percentage,41.18
2021,Broadband Penetration,April,Percentage,40.66
2021,Broadband Penetration,May,Percentage,39.59
2021,Broadband Penetration,June,Percentage,39.97
2021,Broadband Penetration,July,Percentage,39.79
2021,Broadband Penetration,Aug,Percentage,41.0
2021,Broadband Penetration,Sept,Percentage,40.01
2021,Broadband Penetration,Oct,Percentage,39.89
2021,Broadband Penetration,Nov,Percentage,39.98
2021,Broadband Penetration,Dec,Percentage,40.88
2021,Broadband Penetration,,Percentage,487.94
2022,Broadband Penetration,Jan,Percentage,41.61
2022,Broadband Penetration,Feb,Percentage,40.91
2022,Broadband Penetration,March,Percentage,42.24
2022,Broadband Penetration,April,Percentage,42.79
2022,Broadband Penetration,May,Percentage,43.67
2022,Broadband Penetration,June,Percentage,44.32
2022,Broadband Penetration,July,Percentage,44.49
2022,Broadband Penetration,Aug,Percentage,44.65
2022,Broadband Penetration,Sept,Percentage,45.09
2022,Broadband Penetration,Oct,Percentage,45.55
2022,Broadband Penetration,Nov,Percentage,46.24
2022,Broadband Penetration,Dec,Percentage,47.36
2022,Broadband Penetration,,Percentage,528.92
2023,Broadband Penetration,Jan,Percentage,48.2
2023,Broadband Penetration,Feb,Percentage,48.49
2023,Broadband Penetration,March,Percentage,48.21
2023,Broadband Penetration,April,Percentage,48.14
2023,Broadband Penetration,May,Percentage,48.28
2023,Broadband Penetration,June,Percentage,47.01
2023,Broadband Penetration,July,Percentage,47.01
2023,Broadband Penetration,Aug,Percentage,45.57
2023,Broadband Penetration,Sept,Percentage,40.85
2023,Broadband Penetration,Oct,Percentage,41.01
2023,Broadband Penetration,Nov,Percentage,41.87
2023,Broadband Penetration,Dec,Percentage,43.71
2023,Broadband Penetration,,Percentage,548.35
